GPU Type,Scale,CPU,GPU,Mainboard,CPU chassis,PSU,"Fans ",Storage,Periphery PWB Mixed,DRAM
T4,1,49.80695833,41,14.75,4.288,3.752,1.608,4.8,6.86,13.74895833
T4,2,180.7085,74.632,29.5,8.576,7.504,3.216,19.2,13.72,98.99250003
T4,4,281.6245,164.264,59,17.152,15.008,6.432,57.6,27.44,98.99250003
T4,8,563.2490001,328,118,34.304,30.016,12.864,115.2,54.88,197.9850001
A6000,1,93.95537403,110.4451396,22.5,4.288,3.752,1.608,27.49,4.317374026,30
A6000,2,187.9107481,220.8902792,45,8.576,7.504,3.216,54.98,8.634748053,60
A6000,4,375.8214961,441.6,90,17.152,15.008,6.432,109.96,17.26949611,120
A6000,8,751.7063255,882,180,34.304,30.016,12.864,219.9833333,34.53899221,240
A100,1,202.85,112,14.75,4.288,3.752,1.608,105.592,6.86,66
A100,2,405.7,224,29.5,8.576,7.504,3.216,211.184,13.72,132
A100,4,811.4,448,59,17.152,15.008,6.432,422.368,27.44,264
A100,8,1622.8,896,118,34.304,30.016,12.864,844.736,54.88,528
GH200,1,629,162,118,34.304,30.016,12.864,879.9333333,34.53899221,144
H100HGX,1,150,150,118,34.304,30.016,12.864,422.368,34.53899221,75
